Dataset,Model,Accuracy,Precision (class 1),Recall (class 1),F1-score (class 1),F2-score,ROC-AUC,Computation Time (sec),TN,FP,FN,TP,SourceFile,ModelStatus
APPLE_DIRECTION_8D,LR,0.5177478580171359,0.5208070617906684,0.9672131147540984,0.6770491803278689,0.8256697321071571,0.5192397766168257,0.1312661170959472,10,380,14,413,model_results_Step3_T1_20_variables.csv,Step3_1D_20_variables
APPLE_DIRECTION_8D,KNN,0.4871481028151774,0.5120481927710844,0.3981264637002342,0.4479578392621871,0.4166666666666667,0.4778448327628655,0.0107474327087402,228,162,257,170,model_results_Step3_T1_20_variables.csv,Step3_1D_20_variables
APPLE_DIRECTION_8D,CART,0.4859241126070991,0.5085158150851582,0.4894613583138173,0.4988066825775656,0.4931571495988674,0.4851107908484958,0.0409119129180908,188,202,218,209,model_results_Step3_T1_20_variables.csv,Step3_1D_20_variables
APPLE_DIRECTION_8D,SVC,0.5226438188494492,0.5226438188494492,1.0,0.6864951768488746,0.8455445544554455,0.5183150183150182,2.366060495376587,0,390,0,427,model_results_Step3_T1_20_variables.csv,Step3_1D_20_variables
APPLE_DIRECTION_8D,MLP,0.5067319461444308,0.5226415094339623,0.6487119437939111,0.5788923719958202,0.6188561215370867,0.4850117096018734,7.647316217422485,137,253,150,277,model_results_Step3_T1_20_variables.csv,Step3_1D_20_variables
APPLE_DIRECTION_8D,ABR,0.5238678090575275,0.5235148514851485,0.990632318501171,0.6850202429149798,0.8406200317965024,0.5065333573530295,1.9633069038391116,5,385,4,423,model_results_Step3_T1_20_variables.csv,Step3_1D_20_variables
APPLE_DIRECTION_8D,GBR,0.5238678090575275,0.5276162790697675,0.8501170960187353,0.6511210762331838,0.7575125208681135,0.500936768149883,4.36903190612793,65,325,64,363,model_results_Step3_T1_20_variables.csv,Step3_1D_20_variables
APPLE_DIRECTION_8D,RFR,0.5201958384332925,0.5283630470016207,0.7634660421545667,0.6245210727969349,0.7010752688172043,0.5062301086891251,3.199182748794556,99,291,101,326,model_results_Step3_T1_20_variables.csv,Step3_1D_20_variables
APPLE_DIRECTION_8D,ETR,0.5446756425948592,0.5442834138486312,0.7915690866510539,0.6450381679389313,0.7256333190210391,0.5163393983066115,1.2200214862823486,107,283,89,338,model_results_Step3_T1_20_variables.csv,Step3_1D_20_variables
Cleaned_Features_for_ML,LR,0.5238678090575275,0.528023598820059,0.8384074941451991,0.6479638009049774,0.7502095557418273,0.5138173302107728,0.2999238967895508,70,320,69,358,model_results_Step4_T1.csv,Step4_1D_All_variables
Cleaned_Features_for_ML,KNN,0.4957160342717258,0.5168539325842697,0.5386416861826698,0.5275229357798165,0.5341384115188109,0.5051402149762805,0.9097282886505128,175,215,197,230,model_results_Step4_T1.csv,Step4_1D_All_variables
Cleaned_Features_for_ML,CART,0.5116279069767442,0.53125,0.5573770491803278,0.544,0.551948051948052,0.5215306551372125,0.1074333190917968,180,210,189,238,model_results_Step4_T1.csv,Step4_1D_All_variables
Cleaned_Features_for_ML,SVC,0.5226438188494492,0.5226438188494492,1.0,0.6864951768488746,0.8455445544554455,0.4947006545367201,3.262937068939209,0,390,0,427,model_results_Step4_T1.csv,Step4_1D_All_variables
Cleaned_Features_for_ML,MLP,0.5250917992656059,0.5970149253731343,0.2810304449648712,0.3821656050955414,0.3143006809848088,0.5282831922176184,6.862926244735718,309,81,307,120,model_results_Step4_T1.csv,Step4_1D_All_variables
Cleaned_Features_for_ML,ABR,0.5091799265605875,0.5164556962025316,0.955503512880562,0.6705012325390304,0.8166533226581265,0.5004263496066774,3.8187084197998047,8,382,19,408,model_results_Step4_T1.csv,Step4_1D_All_variables
Cleaned_Features_for_ML,GBR,0.5250917992656059,0.5277382645803699,0.8688524590163934,0.6566371681415929,0.7693902944836167,0.5044076142436799,8.829042911529541,58,332,56,371,model_results_Step4_T1.csv,Step4_1D_All_variables
Cleaned_Features_for_ML,RFR,0.4822521419828641,0.5049019607843137,0.4824355971896955,0.4934131736526946,0.4867674858223062,0.4828769591064673,4.5230817794799805,188,202,221,206,model_results_Step4_T1.csv,Step4_1D_All_variables
Cleaned_Features_for_ML,ETR,0.5104039167686658,0.5269461077844312,0.6182669789227166,0.5689655172413793,0.5975554549569941,0.5034828559418724,1.7070536613464355,153,237,163,264,model_results_Step4_T1.csv,Step4_1D_All_variables
Cleaned_Features_for_ML,Tuned SVM,0.5226438188494492,0.5226438188494492,1.0,0.6864951768488746,0.8455445544554455,0.5042394763706239,3.150019407272339,0,390,0,427,model_results_Step4_T1.csv,Step4_1D_All_variables
Cleaned_Features_for_ML,Tuned Decision Tree,0.4981640146878825,0.515828677839851,0.6487119437939111,0.5746887966804979,0.6169265033407573,0.5120879120879122,0.0569360256195068,130,260,150,277,model_results_Step4_T1.csv,Step4_1D_All_variables
Cleaned_Features_for_ML,Bagging SVM,0.5226438188494492,0.5226438188494492,1.0,0.6864951768488746,0.8455445544554455,0.4974058728157088,21.003783464431763,0,390,0,427,model_results_Step4_T1.csv,Step4_1D_All_variables
Cleaned_Features_for_ML,Bagging Decision Tree,0.4736842105263157,0.4964705882352941,0.4941451990632318,0.4953051643192488,0.4946085325832161,0.4818921515642828,3.6992127895355225,176,214,216,211,model_results_Step4_T1.csv,Step4_1D_All_variables
Cleaned_Features_for_ML,Voting (SVM + DT),0.5006119951040392,0.5236907730673317,0.4918032786885246,0.5072463768115942,0.4978662873399715,0.493040293040293,3.2679009437561035,199,191,217,210,model_results_Step4_T1.csv,Step4_1D_All_variables
Cleaned_Features_for_ML,Stacking Meta-Model,0.5152998776009792,0.5247208931419458,0.7704918032786885,0.6242884250474383,0.7044967880085653,0.5079745391220801,25.58665680885315,92,298,98,329,model_results_Step4_T1.csv,Step4_1D_All_variables
APPLE_TREND_8D,LR,0.8939393939393939,0.9104046242774566,0.9077809798270894,0.9090909090909092,0.9083044982698962,0.8894398487906755,0.0112385749816894,216,31,32,315,model_results_Step5_T8_20_variables.csv,Step5_8D_20_variables
APPLE_TREND_8D,KNN,0.8619528619528619,0.8885630498533724,0.8731988472622478,0.8808139534883721,0.876229034123771,0.887678073481198,0.3346946239471435,209,38,44,303,model_results_Step5_T8_20_variables.csv,Step5_8D_20_variables
APPLE_TREND_8D,CART,0.8720538720538721,0.9069069069069068,0.8703170028818443,0.888235294117647,0.8773968622893666,0.8561936319406364,0.0235097408294677,216,31,45,302,model_results_Step5_T8_20_variables.csv,Step5_8D_20_variables
APPLE_TREND_8D,SVC,0.8905723905723906,0.912280701754386,0.899135446685879,0.9056603773584906,0.9017341040462428,0.8962361012262423,0.8685626983642578,217,30,35,312,model_results_Step5_T8_20_variables.csv,Step5_8D_20_variables
APPLE_TREND_8D,MLP,0.6835016835016835,0.6574257425742575,0.956772334293948,0.7793427230046949,0.8769149498151083,0.8120617438075348,3.6630258560180655,74,173,15,332,model_results_Step5_T8_20_variables.csv,Step5_8D_20_variables
APPLE_TREND_8D,ABR,0.5656565656565656,0.908256880733945,0.2853025936599423,0.4342105263157895,0.3306613226452906,0.7025516573522034,1.6360340118408203,237,10,248,99,model_results_Step5_T8_20_variables.csv,Step5_8D_20_variables
APPLE_TREND_8D,GBR,0.8838383838383839,0.8948863636363636,0.9077809798270894,0.9012875536480688,0.9051724137931034,0.8743539184916403,3.2184031009674072,210,37,32,315,model_results_Step5_T8_20_variables.csv,Step5_8D_20_variables
APPLE_TREND_8D,RFR,0.8939393939393939,0.9104046242774566,0.9077809798270894,0.9090909090909092,0.9083044982698962,0.8908866046739549,1.798259973526001,216,31,32,315,model_results_Step5_T8_20_variables.csv,Step5_8D_20_variables
APPLE_TREND_8D,ETR,0.8939393939393939,0.9104046242774566,0.9077809798270894,0.9090909090909092,0.9083044982698962,0.8973678376833237,0.709871768951416,216,31,32,315,model_results_Step5_T8_20_variables.csv,Step5_8D_20_variables
APPLE_TREND_8D,VOTING_SOFT,0.8939393939393939,0.9104046242774566,0.9077809798270894,0.9090909090909092,0.9083044982698962,0.8961369284439207,2.659259080886841,216,31,32,315,model_results_Step5_T8_20_variables.csv,Step5_8D_20_variables
APPLE_TREND_8D,BAGGING_CART,0.8939393939393939,0.9104046242774566,0.9077809798270894,0.9090909090909092,0.9083044982698962,0.8921350149925912,2.935865640640259,216,31,32,315,model_results_Step5_T8_20_variables.csv,Step5_8D_20_variables
APPLE_TREND_8D,BAGGING_LR,0.8939393939393939,0.9104046242774566,0.9077809798270894,0.9090909090909092,0.9083044982698962,0.8885181252843924,1.7975988388061523,216,31,32,315,model_results_Step5_T8_20_variables.csv,Step5_8D_20_variables
APPLE_TREND_8D,STACKING,0.8922558922558923,0.910144927536232,0.904899135446686,0.907514450867052,0.9059434506635892,0.8894398487906754,28.0399706363678,216,31,33,314,model_results_Step5_T8_20_variables.csv,Step5_8D_20_variables
APPLE_TREND_8D,LR,0.8939393939393939,0.9104046242774566,0.9077809798270894,0.9090909090909092,0.9083044982698962,0.8911199523970645,0.059929609298706,216,31,32,315,model_results_Step5_T8_AllVariables.csv,Step5_8D_All_Variables
APPLE_TREND_8D,KNN,0.5774410774410774,0.8157894736842105,0.3573487031700288,0.4969939879759519,0.4025974025974026,0.6833938092849059,0.5380346775054932,219,28,223,124,model_results_Step5_T8_AllVariables.csv,Step5_8D_All_Variables
APPLE_TREND_8D,CART,0.8636363636363636,0.8778409090909091,0.8904899135446686,0.8841201716738197,0.8879310344827587,0.8191030113523667,0.0429716110229492,204,43,38,309,model_results_Step5_T8_AllVariables.csv,Step5_8D_All_Variables
APPLE_TREND_8D,SVC,0.8787878787878788,0.9154078549848944,0.8731988472622478,0.8938053097345132,0.881326352530541,0.8934184274696939,1.0036191940307615,219,28,44,303,model_results_Step5_T8_AllVariables.csv,Step5_8D_All_Variables
APPLE_TREND_8D,MLP,0.6363636363636364,0.6201834862385321,0.9740634005763688,0.757847533632287,0.8742886704604242,0.8142960482563092,2.414756774902344,40,207,9,338,model_results_Step5_T8_AllVariables.csv,Step5_8D_All_Variables
APPLE_TREND_8D,ABR,0.8686868686868687,0.8788732394366198,0.899135446685879,0.8888888888888888,0.8950086058519794,0.8844928770607522,2.6950724124908447,204,43,35,312,model_results_Step5_T8_AllVariables.csv,Step5_8D_All_Variables
APPLE_TREND_8D,GBR,0.867003367003367,0.8785310734463276,0.8962536023054755,0.8873038516405135,0.8926521239954076,0.8823460780081438,6.177170276641846,204,43,36,311,model_results_Step5_T8_AllVariables.csv,Step5_8D_All_Variables
APPLE_TREND_8D,RFR,0.8905723905723906,0.9171597633136096,0.8933717579250721,0.9051094890510948,0.8980301274623407,0.9003663559252821,2.4917445182800293,219,28,37,310,model_results_Step5_T8_AllVariables.csv,Step5_8D_All_Variables
APPLE_TREND_8D,ETR,0.8939393939393939,0.9104046242774566,0.9077809798270894,0.9090909090909092,0.9083044982698962,0.9010022284707556,0.8291754722595215,216,31,32,315,model_results_Step5_T8_AllVariables.csv,Step5_8D_All_Variables
APPLE_TREND_8D,VOTING_SOFT,0.8939393939393939,0.9104046242774566,0.9077809798270894,0.9090909090909092,0.9083044982698962,0.8978170320503098,3.537090301513672,216,31,32,315,model_results_Step5_T8_AllVariables.csv,Step5_8D_All_Variables
APPLE_TREND_8D,BAGGING_CART,0.8939393939393939,0.9104046242774566,0.9077809798270894,0.9090909090909092,0.9083044982698962,0.9015155934615968,5.647232055664063,216,31,32,315,model_results_Step5_T8_AllVariables.csv,Step5_8D_All_Variables
APPLE_TREND_8D,BAGGING_LR,0.8939393939393939,0.9104046242774566,0.9077809798270894,0.9090909090909092,0.9083044982698962,0.8887164708490356,3.17061448097229,216,31,32,315,model_results_Step5_T8_AllVariables.csv,Step5_8D_All_Variables
APPLE_TREND_8D,STACKING,0.8737373737373737,0.8953488372093024,0.8876080691642652,0.8914616497829233,0.8891454965357968,0.8869663629257136,47.26891851425171,211,36,39,308,model_results_Step5_T8_AllVariables.csv,Step5_8D_All_Variables
APPLE_TREND_8D_ARIMA,LR,0.8975903614457831,0.9411764705882352,0.897196261682243,0.9186602870813396,0.9056603773584906,0.8796134959607159,0.011113166809082,53,6,11,96,model_results_Step6_ARIMA.csv,Step6_8D_incl_ARIMA
APPLE_TREND_8D_ARIMA,KNN,0.3554216867469879,0.5,0.0093457943925233,0.018348623853211,0.0116279069767441,0.5119594487565341,0.3626275062561035,58,1,106,1,model_results_Step6_ARIMA.csv,Step6_8D_incl_ARIMA
APPLE_TREND_8D_ARIMA,CART,0.3493975903614458,0.3333333333333333,0.0093457943925233,0.0181818181818181,0.0116009280742459,0.0934579439252336,0.0140295028686523,57,2,106,1,model_results_Step6_ARIMA.csv,Step6_8D_incl_ARIMA
APPLE_TREND_8D_ARIMA,SVC,0.3554216867469879,0.0,0.0,0.0,0.0,0.8927609694281642,0.1124274730682373,59,0,107,0,model_results_Step6_ARIMA.csv,Step6_8D_incl_ARIMA
APPLE_TREND_8D_ARIMA,MLP,0.608433734939759,0.8888888888888888,0.4485981308411215,0.5962732919254659,0.4979253112033195,0.8027878979882781,0.7155389785766602,53,6,59,48,model_results_Step6_ARIMA.csv,Step6_8D_incl_ARIMA
APPLE_TREND_8D_ARIMA,ABR,0.3554216867469879,0.0,0.0,0.0,0.0,0.8482496435925867,1.0619986057281494,59,0,107,0,model_results_Step6_ARIMA.csv,Step6_8D_incl_ARIMA
APPLE_TREND_8D_ARIMA,GBR,0.6867469879518072,0.9230769230769232,0.5607476635514018,0.6976744186046512,0.6085192697768763,0.9253920481546016,1.8859100341796875,54,5,47,60,model_results_Step6_ARIMA.csv,Step6_8D_incl_ARIMA
APPLE_TREND_8D_ARIMA,RFR,0.3614457831325301,1.0,0.0093457943925233,0.0185185185185185,0.0116550116550116,0.9231744020275622,0.7929704189300537,59,0,106,1,model_results_Step6_ARIMA.csv,Step6_8D_incl_ARIMA
APPLE_TREND_8D_ARIMA,ETR,0.4036144578313253,0.9,0.0841121495327102,0.1538461538461538,0.1027397260273972,0.9178678916521464,0.3810226917266845,58,1,98,9,model_results_Step6_ARIMA.csv,Step6_8D_incl_ARIMA
APPLE_TREND_8D_ARIMA,VOTING_SOFT,0.4397590361445783,0.8888888888888888,0.1495327102803738,0.256,0.179372197309417,0.8881672738792967,0.9034984111785888,57,2,91,16,model_results_Step6_ARIMA.csv,Step6_8D_incl_ARIMA
APPLE_TREND_8D_ARIMA,BAGGING_CART,0.3975903614457831,0.8181818181818182,0.0841121495327102,0.1525423728813559,0.10250569476082,0.9086012989070172,1.7896766662597656,57,2,98,9,model_results_Step6_ARIMA.csv,Step6_8D_incl_ARIMA
APPLE_TREND_8D_ARIMA,BAGGING_LR,0.8975903614457831,0.9411764705882352,0.897196261682243,0.9186602870813396,0.9056603773584906,0.8786630761919847,1.7155513763427734,53,6,11,96,model_results_Step6_ARIMA.csv,Step6_8D_incl_ARIMA
APPLE_TREND_8D_ARIMA,STACKING,0.3915662650602409,0.875,0.0654205607476635,0.1217391304347826,0.0802752293577981,0.9131949944558846,14.115856647491457,58,1,100,7,model_results_Step6_ARIMA.csv,Step6_8D_incl_ARIMA
